Date,Price
3-Oct-86,233.71
6-Oct-86,234.78
7-Oct-86,234.41
8-Oct-86,236.68
9-Oct-86,235.85
10-Oct-86,235.48
13-Oct-86,235.91
14-Oct-86,235.37
15-Oct-86,238.8
16-Oct-86,239.53
17-Oct-86,238.84
20-Oct-86,235.97
21-Oct-86,235.88
22-Oct-86,236.26
23-Oct-86,239.28
24-Oct-86,238.26
27-Oct-86,238.77
28-Oct-86,239.26
29-Oct-86,240.94
30-Oct-86,243.71
31-Oct-86,243.98
3-Nov-86,245.8
4-Nov-86,246.2
5-Nov-86,246.58
6-Nov-86,245.87
7-Nov-86,245.77
10-Nov-86,246.13
11-Nov-86,247.08
12-Nov-86,246.64
13-Nov-86,243.02
14-Nov-86,244.5
17-Nov-86,243.21
18-Nov-86,236.78
19-Nov-86,237.66
20-Nov-86,242.05
21-Nov-86,245.86
24-Nov-86,247.45
25-Nov-86,248.17
26-Nov-86,248.77
28-Nov-86,249.22
1-Dec-86,249.05
2-Dec-86,254
3-Dec-86,253.85
4-Dec-86,253.04
5-Dec-86,251.17
8-Dec-86,251.16
9-Dec-86,249.28
10-Dec-86,250.96
11-Dec-86,248.17
12-Dec-86,247.35
15-Dec-86,248.21
16-Dec-86,250.04
17-Dec-86,247.56
18-Dec-86,246.78
19-Dec-86,249.73
22-Dec-86,248.75
23-Dec-86,246.34
24-Dec-86,246.75
26-Dec-86,246.92
29-Dec-86,244.67
30-Dec-86,243.37
31-Dec-86,242.17
2-Jan-87,246.45
5-Jan-87,252.19
6-Jan-87,252.78
7-Jan-87,255.33
8-Jan-87,257.28
9-Jan-87,258.73
12-Jan-87,260.3
13-Jan-87,259.95
14-Jan-87,262.64
15-Jan-87,265.49
16-Jan-87,266.28
19-Jan-87,269.34
20-Jan-87,269.04
21-Jan-87,267.84
22-Jan-87,273.91
23-Jan-87,270.1
26-Jan-87,269.61
27-Jan-87,273.75
28-Jan-87,275.4
29-Jan-87,274.24
30-Jan-87,274.08
2-Feb-87,276.45
3-Feb-87,275.99
4-Feb-87,279.64
5-Feb-87,281.16
6-Feb-87,280.04
9-Feb-87,278.16
10-Feb-87,275.07
11-Feb-87,277.54
12-Feb-87,275.62
13-Feb-87,279.7
17-Feb-87,285.49
18-Feb-87,285.42
19-Feb-87,285.57
20-Feb-87,285.48
23-Feb-87,282.38
24-Feb-87,282.88
25-Feb-87,284
26-Feb-87,282.96
27-Feb-87,284.2
2-Mar-87,283
3-Mar-87,284.12
4-Mar-87,288.62
5-Mar-87,290.52
6-Mar-87,290.66
9-Mar-87,288.3
10-Mar-87,290.86
11-Mar-87,290.31
12-Mar-87,291.22
13-Mar-87,289.89
16-Mar-87,288.23
17-Mar-87,292.47
18-Mar-87,292.78
19-Mar-87,294.08
20-Mar-87,298.17
23-Mar-87,301.16
24-Mar-87,301.64
25-Mar-87,300.38
26-Mar-87,300.93
27-Mar-87,296.13
30-Mar-87,289.2
31-Mar-87,291.7
1-Apr-87,292.38
2-Apr-87,293.63
3-Apr-87,300.41
6-Apr-87,301.95
7-Apr-87,296.69
8-Apr-87,297.26
9-Apr-87,292.86
10-Apr-87,292.49
13-Apr-87,285.62
14-Apr-87,279.16
15-Apr-87,284.44
16-Apr-87,286.91
20-Apr-87,286.09
21-Apr-87,293.07
22-Apr-87,287.19
23-Apr-87,286.82
24-Apr-87,281.52
27-Apr-87,281.83
28-Apr-87,282.51
29-Apr-87,284.57
30-Apr-87,288.36
1-May-87,288.03
4-May-87,289.36
5-May-87,295.34
6-May-87,295.47
7-May-87,294.71
8-May-87,293.37
11-May-87,291.57
12-May-87,293.3
13-May-87,293.98
14-May-87,294.24
15-May-87,287.43
18-May-87,286.65
19-May-87,279.62
20-May-87,278.21
21-May-87,280.17
22-May-87,282.16
26-May-87,289.11
27-May-87,288.73
28-May-87,290.76
29-May-87,290.1
1-Jun-87,289.83
2-Jun-87,288.46
3-Jun-87,293.47
4-Jun-87,295.09
5-Jun-87,293.45
8-Jun-87,296.72
9-Jun-87,297.28
10-Jun-87,297.47
11-Jun-87,298.73
12-Jun-87,301.62
15-Jun-87,303.14
16-Jun-87,304.76
17-Jun-87,304.81
18-Jun-87,305.69
19-Jun-87,306.97
22-Jun-87,309.65
23-Jun-87,308.43
24-Jun-87,306.86
25-Jun-87,308.96
26-Jun-87,307.16
29-Jun-87,307.9
30-Jun-87,304
1-Jul-87,302.94
2-Jul-87,305.63
6-Jul-87,304.92
7-Jul-87,307.4
8-Jul-87,308.29
9-Jul-87,307.52
10-Jul-87,308.37
13-Jul-87,307.63
14-Jul-87,310.68
15-Jul-87,310.42
16-Jul-87,312.7
17-Jul-87,314.59
20-Jul-87,311.39
21-Jul-87,308.55
22-Jul-87,308.47
23-Jul-87,307.81
24-Jul-87,309.27
27-Jul-87,310.65
28-Jul-87,312.33
29-Jul-87,315.65
30-Jul-87,318.05
31-Jul-87,318.66
3-Aug-87,317.57
4-Aug-87,316.23
5-Aug-87,318.45
6-Aug-87,322.09
7-Aug-87,323
10-Aug-87,328
11-Aug-87,333.33
12-Aug-87,332.39
13-Aug-87,334.65
14-Aug-87,333.99
17-Aug-87,334.11
18-Aug-87,329.25
19-Aug-87,329.83
20-Aug-87,334.84
21-Aug-87,335.9
24-Aug-87,333.33
25-Aug-87,336.77
26-Aug-87,334.57
27-Aug-87,331.38
28-Aug-87,327.04
31-Aug-87,329.8
1-Sep-87,323.4
2-Sep-87,321.68
3-Sep-87,320.21
4-Sep-87,316.7
8-Sep-87,313.56
9-Sep-87,313.92
10-Sep-87,317.13
11-Sep-87,321.98
14-Sep-87,323.08
15-Sep-87,317.74
16-Sep-87,314.86
17-Sep-87,314.93
18-Sep-87,314.86
21-Sep-87,310.54
22-Sep-87,319.5
23-Sep-87,321.19
24-Sep-87,319.72
25-Sep-87,320.16
28-Sep-87,323.2
29-Sep-87,321.69
30-Sep-87,321.83
1-Oct-87,327.33
2-Oct-87,328.07
5-Oct-87,328.08
6-Oct-87,319.22
7-Oct-87,318.54
8-Oct-87,314.16
9-Oct-87,311.07
12-Oct-87,309.39
13-Oct-87,314.52
14-Oct-87,305.23
15-Oct-87,298.08
16-Oct-87,282.7
19-Oct-87,224.84
20-Oct-87,236.83
21-Oct-87,258.38
22-Oct-87,248.25
23-Oct-87,248.22
26-Oct-87,227.67
27-Oct-87,233.19
28-Oct-87,233.28
29-Oct-87,244.77
30-Oct-87,251.79
